ECO Term Label,ECO term ID,ECO term ID to be mapped by CollecTF,ECO term label to be mapped by CollecTF,"Cross-product ECO codes to be created (M - manual assertion, A - Automatic assertion, MA - manual and automatic assertion)",Cross-product ECO code to be used by CollecTF (retroactive assignment),CollecTF experimental technique,CollecTF-provided definition (rough),Preset Function (CollecTF major heading),Sub-category under major heading,ECO term ID,Suggested Term: ECO term label,New Definition ,Dbxrefs,Synonyms,Synonym xref,Comments,Comments xref,Notes
copper-phenanthroline footprinting evidence,ECO:0001815,ECO:0005626,copper-phenanthroline footprinting evidence used in manual assertion,M,M,Copper-phenanthroline footprinting,"This technique has higher resolution as copper-1,10-phenanthroline has much less sequence cleavage specificity than DNase I and cleaves at essentially every nucleotide",Binding,Nucleic acid protection assay,ECO:0000136,nucleic acid binding evidence,"A type of *in-vivo footprinting technique where the 1,10-phenanthroline–copper complex is used to define the sequence-specific protein–DNA contacts producing high-resolution data. Edited version: A type of nucleic acid binding evidence 
where nucleic acid that has been bound to protein is cleaved with 1,10-phenanthroline–copper complex resulting in a high-resolution footprint of sequence-specific protein–DNA contacts.",PMID: 11691942,"1,10-Phenanthroline-copper footprinting evidence
OP-Cu Complex (related)
",PMID: 1384472,,,"Can also be used for RNA also http://www.sciencedirect.com/science/article/pii/0006291X9290472W

"
DNA adenine methyltransferase identification evidence,ECO:0001824,ECO:0005628,DNA adenine methyltransferase identification evidence used in automatic assertion,MA,A,DamID,"An alternative method to ChIP-chip is DamID, which uses a methylase attached to the TF and a methyl-dependent PCR step to avoid the need for antibodies. The downside is that it only works in eukaryotes, because prokaryotes do methylate their adenosines (using, guess what, the Dam methylase).",Binding,"Array methods
Immunoprecipitation methods
In-vivo techniques","ECO:0000023 (is_a)
",affinity evidence,"A type of affinity evidence used to identify DNA binding sites in eukaryotes where Escherichia coli DNA adenine methyltransferase (Dam) is fused to a transcription factor, co-factor, chromatin-associated protein, or nuclear-associated protein, followed by a methyl-dependent PCR to localize methyltransferase in the region of the binding site.","PMID: 19588092
PMID:16938559
PMID:17545983",DamID,PMID: 19588092,"The methylation tag is detected with methylation-sensitive restriction enzymes, DpnI and DpnII.",,http://research.nki.nl/vansteensellab/DamID_FAQ.htm
DNA affinity chromatography evidence,ECO:0001809,ECO:0005629,DNA affinity chromatography evidence used in manual assertion,M,M,DNA affinity purification,"In DNA affinity purification, DNA from promoter regions thought to be bound by the protein is labelled (e.g. biotinylated) and bound to beads (or some type of matrix). The protein is then left to interact with DNA and eventually eluted. Bound protein will remain attached to beads. This can be detected through gel electophoresis. The protein can then be sequenced by mass-spectrometry. The techinque can be used to demonstrate binding of a purified protein, or to purify the binding protein from crude extract or a mix of proteins.",Binding,"Gel electrophoresis assay
Proteomic assay
Substrate immobilization",ECO:0000325 (is_a),chromatography evidence,"A type of chromatography evidence where immobilized promoter DNA is labelled and bound to a matrix through which a protein mixture is poured and then eluted to purify specific DNA binding proteins.
","PMID: 11694305
PMID: 11725488",DNA affinity purification evidence,,"Biotinylation is commonly used for labeling and beads are commonly used as the matrix. Bound protein will remain attached to the beads. Results can be detected through gel electophoresis and then sequenced by mass-spectrometry. This techinque can be used to demonstrate binding of a purified protein, or to purify the binding protein from crude extract or protein mixture.",,"Is this referring to a type of chromatographic evidence?
If yes, another good resource: http://www.pnas.org/content/83/16/5889.full.pdf
"
DNA microarray evidence,ECO:0005524,ECO:0005630,DNA microarray evidence used in automatic assertion,MA,A,DNA-array expression analysis,"DNA-arrays (or DNA-chips or microarrays) are flat slabs of glass, silicon or plastic onto which thousands of multiple short single-stranded (ss) DNA sequences (corresponding to small regions of a genome) have been attached. After performing a mRNA extraction in induced and non-induced cells, the mRNA is again reverse transcribed, but here the reaction is tweaked, so that the emerging cDNA contains nucleotides marked with different fluorophores for controls and experiment. Targets will hybridize by base-pairing with those probes that resemble them the most. The array can then be stimulated by a laser and scanned for fluorescence at two different wavelengths (control and induced). The ratio or log-ratio between the two fluorescence intensities corresponds to the induction level.",Expression,"Array methods
In vivo techniques
Reverse transcription methods
Substrate immobilization",ECO:0005524,DNA microarray evidence,"A type of DNA detection assay evidence where complimentary ssDNA is attached to a solid glass, silicon, or plastic surface and is hybridized with a labeled sample of extracted mRNA or amplified cDNA and stimulated with a laser for fluorescence detected with a scanner.",PMID: 17660860,"DNA-array expression analysis
DNA chip
","PMID: 10398077
(PMID:
    11833770)",The mRNA extraction is performed in induced and non-induced cells and reverse transcribed with different fluorophore labeling for controls and experiment. Fluorescence is measured at two different wavelengths and the ratio between the two fluorescence intensities corresponds to the induction level.,,ISB-SIB
DNAse footprinting evidence,ECO:0001810,ECO:0005631,DNAse footprinting evidence used in manual assertion,M,M,DNAse footprinting,"The DNAse foot-printing method starts by focusing on a given region of interest (e.g. a promoter region) and amplifying it by PCR to obtain lots of sample. It then throws in the TF and then the DNAse. The mix is left to stir for a short time and then gel electrophoresis is run to compare the pattern of fragments in a control (no TF) and in the sample. If the TF has bound the sample, it will have protected a stretch of DNA (encompassing some fragments of the control) and thus those fragments will not appear in the sample gel. The fragments can then be cut-out from the gel, purified and sequenced to obtain the sequence of the protected region. This is often used to identify the binding motif of a TF for the first time. The foot-printing will typically resolve the protected region down to 50-100 bp, and the sequence can be then examined for possible TF-binding sites either by eye of using a computer search.",Binding,"In-vivo techniques
Nucleic acid protection assay",ECO:0000136 (is_a),nucleic acid binding evidence,"A type of nucleic acid binding evidence where DNA-bound proteins protect a binding site from enzymatic cleavage with DNAse thereby detecting protein-DNA interactions. Edited version: A type of nucleic acid binding evidence where proteins that have been bound to DNA protect a binding site from enzymatic cleavage with DNAse, thereby detecting protein-DNA interactions.","PMID 22194258
PMID:212715",DNase protection evidence,PMID 22194258,"In DNAse footingprinting amplified DNA combined with TF and DNAse is electrophoresed for fragment comparison with a non-TF control sample. TF-bound fragments do not appear in the gel. Such fragments can be isolated, purified, and sequenced. This technique is often used to identify the binding motif of a TF resolving the protected region to 50-100 bp which can be further examined for TF-binding sites.",,Tracker issue 35- new term by Kim
enzyme-linked immunoabsorbent assay evidence,ECO:0000267,ECO:0005581,enzyme-linked immunoabsorbent assay evidence used in manual assertion,M,M,ELISA,"The Enzyme-linked immunosorbent assay (ELISA) is a test that uses antibodies and color change to identify a substance. In the context of transcriptional regulation, ELISA is sometimes used to identify a produced protein, especially if they are secreted proteins.",Expression,"Phenotype analysis
Proteomic assay",ECO:0000267,enzyme-linked immunoabsorbent assay evidence,"A type of protein assay evidence where an antigen is bound to a substrate, and an antibody directly or indirectly linked to an enzyme is utilized to determine the amount of bound antigen which is visualized with a color change in the substrate.",PMID: 23949770,,,"ELISA is sometimes used in the study of transcriptional regulation to identify a produced protein, especially secreted protein.",,
electrophoretic mobility shift assay evidence,ECO:0000096,ECO:0001807,electrophoretic mobility shift assay evidence used in manual assertion,M,M,EMSA,"Electro-mobility shift-assays (or gel retardation assays) are a standard way of assessing TF-binding. A fragment of DNA of interest is amplified and labeled with a fluorophore. The fragment is left to incubate in a solution containing abundant TF and non-specific DNA (e.g. randomly cleaved DNA from salmon sperm, of all things) and then a gel is run with the incubated sample and a control (sample that has not been in contact with the TF). If the TF has bound the sample, the complex will migrate more slowly than unbound DNA through the gel, and this retarded band can be used as evidence of binding. The unspecific DNA ensures that the binding is specific to the fragment of interest and that any non-specific DNA-binding proteins left-over in the TF purification will bind there, instead of on the fragment of interest. EMSAs are typically carried out in a bunch of fragments, shown as multiple double (control+experiment) lanes in a wide picture. Certain additional controls are run in at least one of the fragments to ascertain specificity. In the most basic of these, specific competitor (the fragment of interest or a known positive control, unlabelled) is added to the reaction. This should sequester the TF and hence make the retardation band disappear, proving that the binding is indeed specific",Binding,"Gel electrophoresis assay
In vitro techniques
",ECO:0000096,electrophoretic mobililty shift assay,"A type of direct assay evidence based on an electrophoretic mobility shift of macromolecules, compounds, and proteins where solutions of protein and nucleic acid are combined and the resulting mixtures are electrophoresed under native conditions through polyacrylamide or agarose gel to detect protein-nucleic acid interactions.",PMID: 17703195,Gel retardation assay,PMID: 17703195,EMSA is often used for assessing TF-binding with fluorophore labelling. Protein-nucleic acid complexes generally migrate at a slower rate than the corresponding non-bonded nucleic acid.,,
fluorescence anisotropy evidence,ECO:0001811,ECO:0005632,fluorescence anisotropy evidence used in manual assertion,M,M,Fluorescence anisotropy,"Fluorescence anisotropy can be used to measure the binding constants and kinetics of reactions that cause a change in the rotational time of the molecules. If the fluorophore is bound to a small molecule, the rate at which it tumbles can decrease significantly when it is bound tightly to a large protein. If the fluorophore is attached to the larger protein in a binding pair, the difference in polarization between bound and unbound states will be smaller (because the unbound protein will already be fairly stable and tumble slowly to begin with) and the measurement will be less accurate. The degree of binding is calculated by using the difference in anisotropy of the partially bound, free and fully bound( large excess of protein) states measured by titrating the two binding partners.",Binding,Proteomic assay,ECO:0001115 (is_a),fluorescence evidence,"A type of fluorescence evidence based on rapid and quantitative analysis of diverse molecular interactions, enzyme activities, and nucleic acid hybridization which uses a fluorophore to measure the binding constants and kinetics of reactions that cause a change in the rotational time of the molecules. 
",PMID: 20232898,"Fluorescence polarization (related)
FP (related)
FA","PMID:20232898
PMCID: PMC3277431","The degree of polarization of a fluorophore is inversely related to its molecular rotation. When the fluorophore is bound to a small molecule, the rate at which it tumbles can decrease significantly from when it is bound tightly to a large protein. If the fluorophore is attached to the larger protein in a binding pair, the difference in polarization between bound and unbound states will be smaller and less accurate. The degree of binding is calculated by using the difference in anisotropy of the partially bound, free, and fully bound states measured by titrating the two binding partners. Fluorescence polarixation assays are homogeneous.",,
ferric uptake regulator titration assay evidence,ECO:0001829,ECO:0005633,ferric uptake regulator titration assay evidence used in manual assertion,M,M,FURTA,"A technique used to locate and isolate Fur sites via cloning. The genome of a target organism is digested with restriction enzymes, and ligated into high copy plasmids to create a plasmid library, which is then cloned into a cell line with a fur-repressed reporter. In cells where the introduced high copy plasmid contains a fur site, fur will be titrated away from it's binding site on the reporter (and throughout the genome), marking the colony. The cell can then be isolated, the plasmid extracted and sequenced for further study.",Binding,Phenotype analysis,ECO:0000049 (is_a),reporter gene assay evidence,"A type of expression pattern evidence where a plasmid library is created and cloned into a cell line with a ferric uptake regulator (Fur)-repressed reporter and the colony is marked from the titration of Fur away from its binding site after which the cell is isolated and plasmid extracted for further sequence analysis to identify Fur-regulated genes.  Edited: A type of reporter gene assay evidence used to locate and isolate Fur sites where a plasmid library is created and cloned into a cell line with a ferric uptake regulator (Fur)-repressed reporter and the Fur protein is titrated away from its binding site on the reporter, after which the cell is isolated and plasmid extracted for further sequence analysis.","PMID: 10713425
PMID:  8107138
PMID: 7642488
http://jb.asm.org/content/181/20/6223.short","FURTA (exact)
Fluorescence polarization","PMID: 10713425
PMID:15689115",,,
genomic systematic evolution of ligands by exponential amplification evidence,ECO:0001812,ECO:0005635,genomic systematic evolution of ligands by exponential amplification evidence used in automatic assertion,MA,A,Genomic SELEX,Genomic systematic evolution of ligands by exponential enrichment is a variation of SELEX that is restricted to actual genomic sequences (not randomly generated ones). It should be always verified that the sequences reported are actually in the genome sequence.,Binding,In vitro techniques,ECO:0000293 (is_a),systematic evolution of ligands by exponential amplification evidence,A type of systematic evolution of ligands by exponential amplification evidence based on a restricted genomic DNA library to identify naturally occuring genomic aptamers and RNA-protein interaction networks with DNA/RNA-binding protein as bait and high-throughput sequencing.,"PMID:20541015
PMID: 21720957",Genomic Systematic Evolution of Ligands by EXponential Enrichment (exact),"PMID:20541015
PMID: 21720957",The reported sequences should always be verified for presence in the genome sequence. ,,
green fluorescent protein reporter gene assay evidence,ECO:0001816,ECO:0005636,green fluorescent protein reporter gene assay evidence used in manual assertion,MA,M,GFP Promoter Fusion,"Target promoter is inserted in front of a GFP gene, and the target TF is induced. Expression levels of GFP should thereby depend on the target TF.",Expression,"Gene fusion assays
In-vivo techniques","ECO:0000049 (is_a)
ECO:0000126 (used in)","reporter gene assay evidence
green fluorescent protein fusion protein localization evidence.",A type of reporter gene assay evidence based on the fusion of select genes with the green fluorescent protein (GFP) gene for detection with bioluminescence of the gene product when exposed to blue ultavioloet light.,PMID: 11989662,"Green fluorescent protein promoter fusion
gfp reporter gene assay 
gfp promoter fusion",PMID: 11989662,,,
cell growth assay evidence,ECO:0000095,ECO:0005638,cell growth assay evidence used in manual assertion,MA,M,Growth curve analysis,"Growth is used as an indicator of the induced/repressed regulatory effect. That is, as a natural reporter.",Expression,"In vivo techniques
Phenotype analysis",ECO:0000095,cell growth assay evidence,A type of in vivo assay evidence that measures one or more aspects of cell growth over a specified time period to indicate an induced or repressed regulatory effect.,,,,Cell growth aspects can include growth rate and extent of growth. A cell growth curve acts as a natural reporter.,,
glutathione S-transferase pull-down assay evidence,ECO:0001817,ECO:0005640,glutathione S-transferase pull-down assay evidence used in manual assertion,M,M,GST pull-down assay,"In a GST pull-down assay, a gene of interest is fused with the GST gene, which codes for Glutathione S-transferase. Glutathione S-transferase has a high affinity for glutathione; consequently, the hybrid protein can be pulled down (purified) from cells using membranes coated with glutathione. If the gene of interest is bound to DNA, this DNA will be also pulled down and can be then analyzed by qPCR or sequencing.",Binding,Gene fusion assays,ECO:0000024 (is_a),protein binding evidence,"A type of protein binding evidence based on physical protein-protein interaction where a bait protein is tagged with Glutathione S-transferase (GST) and captured on an immobilized Glutathione affinity ligand for incubation with prey proteins to purify proteins that interact with the bait. New: A type of protein binding evidence where a gene is fused with the GST gene and the resulting recombinant bait protein is captured on an immobilized Glutathione affinity ligand and incubated with prey protein to identify and characterize protein-protein interactions. 

","PMID:26096507
https://www.lifetechnologies.com/us/en/home/life-science/protein-biology/protein-biology-learning-center/protein-biology-resource-library/pierce-protein-methods/pull-down-assays.html",GST pull-down assay evidence,PMID: 26096507,The recombinant protein can also be eluted following the pull-down and analyzed further with qPCR or sequencing.,,
beta-glucuronidase reporter gene assay evidence,ECO:0001804,ECO:0005641,beta-glucuronidase reporter gene assay evidence used in manual assertion,M,M,GUS reporter gene assay,"This is a reporter assay technique, used typically to measure expression of a target gene. A promoter of interest is investigated by fusioning it with the reporter gene, which is then monitored. In GUS, the reporter is the β-glucuronidase enzyme from Escherichia coli, capable of transforming non-fluorescent substates into fluorescent, thereby allowing detection.",Expression,"Gene fusion assays
In vivo techniques",ECO:0001804,reporter gene assay evidence,"A type of reporter gene assay evidence where the β-glucuronidase enzyme from Escherichia coli is used as the reporter to transform non-fluorescent substrates into fluorescents for detection.
",,"β-glucuronidase reporter gene assay
GUS reporter gene assay",,,,
heteronuclear single quantum coherence spectroscopy evidence,ECO:0001813,ECO:0005642,heteronuclear single quantum coherence spectroscopy evidence used in manual assertion,M,M,HSQC (NMR),"The HSQC experiment is a highly sensitive 2D-NMR experiment, where the transfer magnetization of a proton to a N or C isotope (the amide proton attached to a nitrogen in the peptide bond for proteins) is monitored by NMR, generating a specific peak in the spectrum. By analyzing the spectrum of a protein in the presence or absence of its cognate DNA binding site, chemical shifts in the spectrum can be detected that indicate binding.",Binding,"In vitro techniques
Proteomic assay",ECO:0001105 (is_a),NMR spectroscopy evidence,"A type of nuclear magnetic resonance based on two-dimensional NMR for elucidation of the chemical structure of an isolated or synthesized chemical compound where the characteristic transfer magnetization of a proton to a nitrogen or carbon isotope is monitored by NMR, generating a specific peak in the spectrum.",PMID: 19856946,"HSQC
","PMID: 19856946
PMID:24417402",Chemical shifts in the spectrum indicating binding can be detected from analysis of a protein spectrum in the presence or absence of its cognate DNA binding site.,,
hydroxyl-radical footprinting evidence,ECO:0001818,ECO:0005643,hydroxyl-radical footprinting evidence used in manual assertion,M,M,Hydroxyl-radical footprinting,"Hydroxyl radical footprinting is almost identical to DNase footprinting, except that it uses hydroxyl radicals to digest non-protected DNA. While hydroxyl radicals yield much better resolution than DNases due to the considerable difference in their sizes, they are also harder and more time consuming to use, and thus this method is seen somewhat infrequently.
",Binding,"In-vivo techniques
Nucleic acid protection assay",ECO:0000136,nucleic acid binding evidence,"A type of *footprinting based on the reduction of hydrogen peroxide by iron (II) for DNA digestion to characterize protein-DNA interactions. Edited version: A type of nucleic acid binding evidence used to identify protein-binding sites on the DNA molecule where DNA that has been bound to protein is digested with hydroxyl radical produced by reduction of hydrogen peroxide with iron (II), followed by separating the cleavage products on a denaturing electrophoresis gel.","PMID: 3090544
PMID:19378159
PMID:18546600",,,"Hydroxyl radical footprinting is used to assess the exact location of contacts between a protein and its cognate DNA and details of the complex structure. The hydroxyl radical is used to cleave a nucleic acid molecule that is bound to a protein, followed by separating the cleavage products on a denaturing 
electrophoresis gel to identify the protein-binding sites on the nucleic acid molecule. Edited version [needs review/work]: ...details of the complex structure? (PMID:00000000)
",,
immunoprecipitation evidence,ECO:0000085,ECO:0005644,immunoprecipitation evidence used in manual assertion,M,M,Immunoprecipitation,"A specific antibody is used to isolate a protein from a mixture. Transcription factors isolated in this way can be incubated with a radiolabeled probe, and used to demonstrate binding.",Binding,"Immunoprecipitation methods
In-vivo techniques",ECO:0000085,immunoprecipitation evidence,A type of protein assay evidence that involves precipitation of a multivalent antigen by a bivalent antibody for protein isolation.,See ECO,,,Transcription factors isolated in this way can be incubated with a radiolabeled probe to demonstrate binding.,,
in vitro transcription assay evidence,ECO:0001071,ECO:0001204,in vitro transcription assay evidence used in manual assertion,M,M,In-vitro transcription,In-vitro transcription is often used to validate that a particular TF can or cannot activate/repress a gene in the absence of other proteins that are present in in vivo conditions.,Expression,In-vitro techniques,ECO:0001071,in vitro transcription assay evidence,A type of in vitro assay evidence where transcription is detected in-vitro to validate the activation or repression ablity of a transcription factor in the absence of other proteins present in in-vivo conditions.,,,,,,
